episode,return,length
1,-254.1,91
2,-55.7,75
3,-212.7,88
4,-91.6,90
5,-178.7,121
6,-283.7,101
7,21.3,90
8,-126.3,68
9,-117.6,68
10,-516.3,103
11,-148.0,88
12,-232.5,120
13,-6.6,92
14,-139.6,78
15,-86.0,68
16,-126.2,121
17,-166.9,96
18,-195.0,75
19,-123.7,61
20,-82.1,87
21,-98.5,79
22,-478.2,97
23,-219.8,84
24,10.5,92
25,-120.5,99
26,-106.0,71
27,-178.7,114
28,-68.4,65
29,-134.9,93
30,-164.9,102
31,-79.0,73
32,-95.9,83
33,-35.4,91
34,-10.5,100
35,-119.4,80
36,-119.1,96
37,-100.0,64
38,-186.8,106
39,-276.6,68
40,-72.8,70
41,-21.0,83
42,-157.9,112
43,-241.3,106
44,-121.3,76
45,-270.1,118
46,-153.6,88
47,-133.3,104
48,-86.9,64
49,-89.8,84
50,-159.1,115
51,-146.8,104
52,-99.3,99
53,-138.4,107
54,-368.0,118
55,-285.0,112
56,-102.0,76
57,-330.8,110
58,-16.1,116
59,-92.5,96
60,-267.7,100
61,-133.2,75
62,-86.1,76
63,-126.3,97
64,-111.9,77
65,-130.4,78
66,-156.2,103
67,-127.6,73
68,-96.3,95
69,-28.8,66
70,-58.3,74
71,-88.0,83
72,-143.6,118
73,-113.4,77
74,-76.9,63
75,-50.8,66
76,-99.9,107
77,-118.7,66
78,-162.2,101
79,-55.8,68
80,-147.7,122
81,-85.6,92
82,-97.4,61
83,-147.0,69
84,-141.8,73
85,-73.7,66
86,-123.1,63
87,-78.7,93
88,-115.8,76
89,-180.9,89
90,-119.9,92
91,-191.3,75
92,-41.6,123
93,-118.0,72
94,-94.8,75
95,-143.4,93
96,-140.3,83
97,-113.7,117
98,-160.7,99
99,-120.0,82
100,-225.5,121
101,-112.4,120
102,-57.3,60
103,-106.5,73
104,-116.8,144
105,-94.9,84
106,-114.0,101
107,-81.2,65
108,-141.3,72
109,-190.7,81
110,-369.5,114
111,-113.7,83
112,-66.3,71
